player_id,web_name,start_rate,minutes,expected_goals_per_90,expected_assists_per_90,expected_goals_conceded_per_90
272,Kusi-Asare,0.0,49,0.0,0.13,2.02
375,Nyoni,0.0,21,1.59,0.09,3.64
205,Sosa,0.0,99,0.04,0.06,0.82
352,Woodman,0.053,212,0.0,0.0,2.02
383,Elliott,0.026,110,0.24,0.07,1.42
38,A.García,0.026,83,0.0,0.01,2.97
394,Alleyne,0.053,135,0.17,0.04,1.03
133,Watson,0.0,57,0.06,0.05,2.72
216,Esse,0.0,40,0.0,0.09,3.92
132,Howell,0.026,92,0.0,0.03,1.02
128,Buonanotte,0.026,81,0.07,0.31,2.79
511,Souza,0.053,142,0.01,0.02,1.65
52,Alysson,0.0,47,0.1,0.1,3.58
66,Soler,0.0,34,0.0,0.0,4.29
515,Maddison,0.0,34,0.56,0.16,1.72
435,Lacey,0.0,40,0.22,0.02,1.15
150,M.Sarr,0.026,100,0.32,0.0,1.47
434,J.Fletcher,0.0,107,0.03,0.02,1.56
477,Abbott,0.053,165,0.0,0.01,1.89
537,Seelt,0.026,133,0.0,0.01,0.9
438,Fletcher,0.0,17,0.0,0.05,1.75
220,Cardines,0.026,90,0.02,0.16,2.53
451,A.Murphy,0.0,7,0.0,0.0,6.3
221,Drakes-Thomas,0.0,7,0.0,0.0,9.39
51,George Hemmings,0.0,25,0.14,0.04,2.2
528,Scarlett,0.0,7,0.0,0.13,0.39
2,Arrizabalaga,0.026,90,0.0,0.0,0.98
103,Dasilva,0.0,2,3.6,0.0,2.25
409,Mukasa,0.0,25,0.0,0.76,1.22
107,Furo,0.0,1,0.0,0.0,1.8
50,Burrowes,0.0,16,0.0,0.0,5.06
524,Olusesi,0.0,14,0.0,0.06,4.82
540,Masuaku,0.053,125,0.05,0.06,1.5
83,Valdimarsson,0.026,90,0.0,0.0,0.97
466,Neave,0.0,13,0.21,0.0,2.56
134,Oriola,0.0,1,0.0,0.0,0.0
425,Fredricson,0.0,2,0.0,0.0,13.5
437,Bendito Mantato,0.0,15,0.0,0.06,0.3
169,Mheuka,0.0,1,0.0,0.0,4.5
163,D.Essugo,0.0,26,0.0,0.03,1.9
99,Milambo,0.026,45,0.0,0.02,2.98
550,Jocelin.T,0.026,38,0.0,0.09,0.57
510,Rowswell,0.0,1,0.0,0.0,32.4
509,Byfield,0.0,1,0.0,0.0,0.0
521,Kulusevski,0.0,0,0.0,0.0,0.0
507,Phillips,0.0,0,0.0,0.0,0.0
59,Dennis,0.0,0,0.0,0.0,0.0
58,Forster,0.0,0,0.0,0.0,0.0
582,Madjo,0.0,0,0.0,0.0,0.0
53,Manzambi,0.0,0,0.0,0.0,0.0
307,Johnson,0.0,0,0.0,0.0,0.0
306,Greaves,0.0,0,0.0,0.0,0.0
305,Davis,0.0,0,0.0,0.0,0.0
304,O'Shea,0.0,0,0.0,0.0,0.0
303,Kipré,0.0,0,0.0,0.0,0.0
302,Button,0.0,0,0.0,0.0,0.0
301,Palmer,0.0,0,0.0,0.0,0.0
300,Walton,0.0,0,0.0,0.0,0.0
589,Gourna-Douath,0.0,0,0.0,0.0,0.0
586,Mendy,0.0,0,0.0,0.0,0.0
585,Herrington,0.0,0,0.0,0.0,0.0
541,Meunier,0.0,0,0.0,0.0,0.0
3,Meslier,0.0,0,0.0,0.0,0.0
365,Ramsay,0.0,0,0.0,0.0,0.0
364,Tsimikas,0.0,0,0.0,0.0,0.0
363,Leoni,0.0,0,0.0,0.0,0.0
362,Jacquet,0.0,0,0.0,0.0,0.0
361,Lucky,0.0,0,0.0,0.0,0.0
355,Davies,0.0,0,0.0,0.0,0.0
354,Jaros,0.0,0,0.0,0.0,0.0
252,McNally,0.0,0,0.0,0.0,0.0
251,Lecomte,0.0,0,0.0,0.0,0.0
247,Hackney,0.0,0,0.0,0.0,0.0
273,Phillips,0.0,0,0.0,0.0,0.0
580,Charles,0.0,0,0.0,0.0,0.0
570,Palacios,0.0,0,0.0,0.0,0.0
569,Gonzalo,0.0,0,0.0,0.0,0.0
218,Doucouré,0.0,0,0.0,0.0,0.0
217,M.França,0.0,0,0.0,0.0,0.0
579,Araujo,0.0,0,0.0,0.0,0.0
382,Danns,0.0,0,0.0,0.0,0.0
381,Koumas,0.0,0,0.0,0.0,0.0
378,McConnell,0.0,0,0.0,0.0,0.0
377,Munoz,0.0,0,0.0,0.0,0.0
376,Bajcetic,0.0,0,0.0,0.0,0.0
235,Aznou,0.0,0,0.0,0.0,0.0
