gameweek,player_id,web_name,position,team_name,xp_predicted,now_cost_at_prediction,selected_by_percent_at_prediction,actual_points,points_per_game_at_prediction,ep_next_at_prediction,start_rate_at_prediction,xp_fresh_at_prediction,xp_horizon_at_prediction,xp_model_at_prediction,ep_x_start_rate_at_prediction,ep_x_availability_at_prediction
1,76,Tóth.A,MID,Bournemouth,0.14,5.0,0.0,1.0,,,,,,,,
1,22,Nwaneri,MID,Arsenal,0.4,5.5,0.0,0.0,,,,,,,,
1,199,Benitez,GKP,Crystal Palace,0.37,4.5,0.1,0.0,,,,,,,,
1,146,B.Badiashile,DEF,Chelsea,0.68,4.5,0.0,0.0,,,,,,,,
1,118,Igor,DEF,Brighton,0.23,4.5,0.1,0.0,,,,,,,,
1,272,Kusi-Asare,FWD,Fulham,0.14,4.5,7.2,0.0,,,,,,,,
1,375,Nyoni,MID,Liverpool,0.89,5.0,0.0,0.0,,,,,,,,
1,205,Sosa,DEF,Crystal Palace,0.36,4.5,0.0,0.0,,,,,,,,
1,352,Woodman,GKP,Liverpool,0.34,4.0,1.1,0.0,,,,,,,,
1,383,Elliott,MID,Liverpool,0.4,5.5,0.1,0.0,,,,,,,,
1,38,A.García,DEF,Aston Villa,0.25,4.0,1.7,0.0,,,,,,,,
1,216,Esse,MID,Crystal Palace,0.2,5.0,0.0,0.0,,,,,,,,
1,511,Souza,DEF,Spurs,0.39,4.0,0.3,0.0,,,,,,,,
1,52,Alysson,MID,Aston Villa,0.25,5.0,0.0,1.0,,,,,,,,
1,515,Maddison,MID,Spurs,0.48,6.5,1.6,1.0,,,,,,,,
1,435,Lacey,MID,Man Utd,0.4,5.0,0.1,1.0,,,,,,,,
1,150,M.Sarr,DEF,Chelsea,0.53,4.5,0.1,0.0,,,,,,,,
1,434,J.Fletcher,MID,Man Utd,0.28,5.0,0.0,0.0,,,,,,,,
1,477,Abbott,DEF,Nott'm Forest,0.47,4.0,0.2,0.0,,,,,,,,
1,537,Seelt,DEF,Sunderland,0.54,4.5,0.0,0.0,,,,,,,,
1,438,Fletcher,MID,Man Utd,0.27,4.5,0.3,0.0,,,,,,,,
1,221,Drakes-Thomas,MID,Crystal Palace,0.17,4.5,0.1,0.0,,,,,,,,
1,51,George Hemmings,MID,Aston Villa,0.26,4.5,0.4,2.0,,,,,,,,
1,528,Scarlett,FWD,Spurs,0.21,4.5,1.6,0.0,,,,,,,,
1,2,Arrizabalaga,GKP,Arsenal,0.52,5.0,0.1,0.0,,,,,,,,
1,103,Dasilva,MID,Brentford,1.75,5.0,0.0,0.0,,,,,,,,
1,409,Mukasa,MID,Man City,0.4,4.5,0.1,0.0,,,,,,,,
1,107,Furo,FWD,Brentford,0.17,4.5,0.8,0.0,,,,,,,,
1,50,Burrowes,MID,Aston Villa,0.17,4.5,0.7,0.0,,,,,,,,
1,524,Olusesi,MID,Spurs,0.19,4.5,0.8,0.0,,,,,,,,
1,83,Valdimarsson,GKP,Brentford,0.39,4.5,0.1,0.0,,,,,,,,
1,466,Neave,FWD,Newcastle,0.17,4.5,0.7,0.0,,,,,,,,
1,134,Oriola,MID,Brighton,0.26,4.5,0.2,0.0,,,,,,,,
1,437,Bendito Mantato,MID,Man Utd,0.34,4.5,0.2,0.0,,,,,,,,
1,169,Mheuka,FWD,Chelsea,0.17,4.5,0.3,0.0,,,,,,,,
1,163,D.Essugo,MID,Chelsea,0.2,4.5,0.2,0.0,,,,,,,,
1,550,Jocelin.T,MID,Sunderland,0.42,5.0,0.0,0.0,,,,,,,,
1,510,Rowswell,DEF,Spurs,0.17,4.0,0.1,0.0,,,,,,,,
1,509,Byfield,DEF,Spurs,0.52,4.0,0.1,0.0,,,,,,,,
1,59,Dennis,GKP,Bournemouth,0.17,4.0,0.2,0.0,,,,,,,,
1,58,Forster,GKP,Bournemouth,0.17,4.0,3.2,0.0,,,,,,,,
1,307,Johnson,DEF,Ipswich Town,0.7,4.0,0.1,0.0,,,,,,,,
1,306,Greaves,DEF,Ipswich Town,0.7,4.0,0.9,2.0,,,,,,,,
1,305,Davis,DEF,Ipswich Town,0.7,4.0,5.2,2.0,,,,,,,,
1,304,O'Shea,DEF,Ipswich Town,0.7,4.0,3.1,4.0,,,,,,,,
1,303,Kipré,DEF,Ipswich Town,0.7,4.0,0.6,0.0,,,,,,,,
1,302,Button,GKP,Ipswich Town,0.7,4.0,0.5,0.0,,,,,,,,
1,301,Palmer,GKP,Ipswich Town,0.7,4.0,5.2,0.0,,,,,,,,
1,300,Walton,GKP,Ipswich Town,0.7,4.5,0.6,0.0,,,,,,,,
1,589,Gourna-Douath,MID,Hull City,0.17,5.0,0.0,0.0,,,,,,,,
1,586,Mendy,DEF,Hull City,0.35,4.0,0.6,15.0,,,,,,,,
1,585,Herrington,DEF,Hull City,0.35,4.0,0.4,1.0,,,,,,,,
1,3,Meslier,GKP,Arsenal,0.7,5.0,0.0,0.0,,,,,,,,
1,365,Ramsay,DEF,Liverpool,0.52,4.0,0.2,0.0,,,,,,,,
1,364,Tsimikas,DEF,Liverpool,0.52,5.0,0.1,0.0,,,,,,,,
1,362,Jacquet,DEF,Liverpool,0.52,5.0,2.2,1.0,,,,,,,,
1,361,Lucky,DEF,Liverpool,0.52,4.0,0.1,0.0,,,,,,,,
1,355,Davies,GKP,Liverpool,0.52,4.0,0.1,0.0,,,,,,,,
1,252,McNally,GKP,Fulham,0.35,4.0,0.1,0.0,,,,,,,,
1,251,Lecomte,GKP,Fulham,0.35,4.0,1.4,0.0,,,,,,,,
1,247,Hackney,MID,Everton,0.26,5.5,0.3,3.0,,,,,,,,
1,273,Phillips,GKP,Hull City,0.35,4.0,1.8,0.0,,,,,,,,
1,580,Charles,MID,Fulham,0.17,5.0,0.1,1.0,,,,,,,,
1,570,Palacios,MID,Fulham,0.17,5.5,0.2,2.0,,,,,,,,
1,569,Gonzalo,FWD,Fulham,0.12,6.0,1.9,6.0,,,,,,,,
1,218,Doucouré,MID,Crystal Palace,0.26,5.0,0.1,0.0,,,,,,,,
1,217,M.França,MID,Crystal Palace,0.26,5.0,0.0,0.0,,,,,,,,
1,579,Araujo,DEF,Liverpool,0.52,5.5,1.6,1.0,,,,,,,,
1,381,Koumas,MID,Liverpool,0.26,5.0,0.0,1.0,,,,,,,,
1,378,McConnell,MID,Liverpool,0.26,4.5,0.2,0.0,,,,,,,,
1,377,Munoz,MID,Liverpool,0.26,6.5,0.7,4.0,,,,,,,,
1,235,Aznou,DEF,Everton,0.52,4.0,0.2,0.0,,,,,,,,
1,228,King,GKP,Everton,0.52,4.5,0.0,0.0,,,,,,,,
1,227,Travers,GKP,Everton,0.52,5.0,0.0,0.0,,,,,,,,
1,289,Crooks,MID,Hull City,0.17,4.5,0.6,2.0,,,,,,,,
1,288,Dowell,MID,Hull City,0.17,4.5,0.4,0.0,,,,,,,,
1,287,Millar,MID,Hull City,0.17,5.0,0.1,0.0,,,,,,,,
1,286,Belloumi,MID,Hull City,0.17,5.0,0.5,3.0,,,,,,,,
1,285,McNair,DEF,Hull City,0.35,4.0,0.1,1.0,,,,,,,,
1,284,McCarthy,DEF,Hull City,0.35,4.0,0.1,0.0,,,,,,,,
1,282,Giles,DEF,Hull City,0.35,4.0,0.8,6.0,,,,,,,,
1,407,Echeverri,MID,Man City,0.26,5.0,0.0,0.0,,,,,,,,
1,396,Vitor Reis,DEF,Man City,0.52,4.5,0.0,0.0,,,,,,,,
1,386,Bettinelli,GKP,Man City,0.52,4.5,0.0,0.0,,,,,,,,
1,207,Mingueza,DEF,Crystal Palace,0.52,4.5,0.1,0.0,,,,,,,,
1,584,Hamer,MID,Coventry City,0.09,5.5,0.1,1.0,,,,,,,,
1,588,Khalaili,DEF,Crystal Palace,0.52,5.0,0.0,1.0,,,,,,,,
1,577,Tomiyasu,DEF,Crystal Palace,0.52,4.5,0.2,1.0,,,,,,,,
1,555,Matthews,GKP,Crystal Palace,0.52,4.0,1.7,0.0,,,,,,,,
1,219,J.Rak-Sakyi,MID,Crystal Palace,0.26,5.0,0.0,0.0,,,,,,,,
1,195,Simms,FWD,Coventry City,0.06,5.0,0.8,2.0,,,,,,,,
1,194,Thomas-Asante,FWD,Coventry City,0.06,5.0,0.8,2.0,,,,,,,,
1,192,Andrews,MID,Coventry City,0.09,4.5,0.7,0.0,,,,,,,,
1,191,Borges Rodrigues,MID,Coventry City,0.09,4.5,0.2,0.0,,,,,,,,
1,190,Tchaouna,MID,Coventry City,0.09,5.5,0.1,2.0,,,,,,,,
1,189,Shepherd,MID,Coventry City,0.09,4.5,0.3,0.0,,,,,,,,
1,188,Torp,MID,Coventry City,0.09,5.5,0.2,1.0,,,,,,,,
1,187,Eccles,MID,Coventry City,0.09,5.0,0.0,0.0,,,,,,,,
1,185,Sakamoto,MID,Coventry City,0.09,5.0,0.1,0.0,,,,,,,,
1,184,Grimes,MID,Coventry City,0.09,5.0,0.2,2.0,,,,,,,,
1,587,Rulli,GKP,Man City,0.52,5.0,0.0,0.0,,,,,,,,
1,410,Monga,MID,Man City,0.26,5.0,0.0,0.0,,,,,,,,
1,176,Dasilva,DEF,Coventry City,0.17,4.0,0.8,1.0,,,,,,,,
1,175,van Ewijk,DEF,Coventry City,0.17,4.0,14.5,1.0,,,,,,,,
1,174,Kitching,DEF,Coventry City,0.17,4.0,0.7,0.0,,,,,,,,
1,173,Thomas,DEF,Coventry City,0.17,4.0,7.8,3.0,,,,,,,,
1,172,Wilson,GKP,Coventry City,0.17,4.5,0.5,0.0,,,,,,,,
1,171,Dovin,GKP,Coventry City,0.17,4.0,2.0,0.0,,,,,,,,
1,110,Rushworth,GKP,Coventry City,0.17,4.5,1.0,1.0,,,,,,,,
1,583,Chavarria,DEF,Chelsea,0.52,5.0,0.2,1.0,,,,,,,,
1,424,Amass,DEF,Man Utd,0.7,4.0,0.2,0.0,,,,,,,,
1,575,Yirenkyi,MID,Coventry City,0.09,5.0,0.2,1.0,,,,,,,,
1,443,Gillespie,GKP,Newcastle,0.35,4.5,0.0,0.0,,,,,,,,
1,441,Obi,FWD,Man Utd,0.23,4.5,1.2,0.0,,,,,,,,
1,436,Collyer,MID,Man Utd,0.35,5.0,0.0,0.0,,,,,,,,
1,429,Rashford,MID,Man Utd,0.35,7.0,1.5,1.0,,,,,,,,
1,182,Amenda,DEF,Coventry City,0.17,4.0,0.8,1.0,,,,,,,,
1,181,Brau,DEF,Coventry City,0.17,4.0,0.0,0.0,,,,,,,,
1,180,Woolfenden,DEF,Coventry City,0.17,4.0,0.2,0.0,,,,,,,,
1,179,Latibeaudiere,DEF,Coventry City,0.17,4.0,0.1,0.0,,,,,,,,
1,178,Bidwell,DEF,Coventry City,0.17,4.0,0.1,0.0,,,,,,,,
1,177,Kesler-Hayden,DEF,Coventry City,0.17,4.0,0.1,0.0,,,,,,,,
1,280,Coyle,DEF,Hull City,0.35,4.0,0.6,6.0,,,,,,,,
1,279,Ajayi,DEF,Hull City,0.35,4.0,0.9,14.0,,,,,,,,
